"","date","rec_group_adjusted_new","individuals_at_receiver","total_individuals","proportion","avg_depth"
"101",2021-11-24,"Bayfront area",1,16,6.25,10.7150684824903
"102",2021-11-24,"Central",4,16,25,10.4471880756704
"103",2021-11-24,"West End",11,16,68.75,7.03549078594073
"104",2021-11-25,"Bayfront area",1,16,6.25,10.0674501901141
"105",2021-11-25,"Central",3,16,18.75,9.94688582442388
"106",2021-11-25,"North shore",1,16,6.25,8.8838
"107",2021-11-25,"West End",11,16,68.75,6.77889068541373
"108",2021-11-26,"Central",1,16,6.25,NA
"109",2021-11-26,"North shore",2,16,12.5,10.167043171595
"110",2021-11-26,"West End",13,16,81.25,6.72805709607995
"111",2021-11-27,"Bayfront area",3,16,18.75,6.70909450633754
"112",2021-11-27,"Central",2,16,12.5,16.3146378947368
"113",2021-11-27,"North shore",1,16,6.25,4.7358
"114",2021-11-27,"West End",10,16,62.5,6.61476209752213
"115",2021-11-28,"Bayfront area",1,16,6.25,8.97500355555556
"116",2021-11-28,"Central",2,16,12.5,11.7334
"117",2021-11-28,"West End",13,16,81.25,6.25548045119427
"118",2021-11-29,"Bayfront area",2,16,12.5,7.9285271630862
"119",2021-11-29,"Central",1,16,6.25,7.1438
"120",2021-11-29,"North shore",2,16,12.5,9.1480645994832
"121",2021-11-29,"West End",11,16,68.75,6.49543090686366
"122",2021-11-30,"Bayfront area",1,16,6.25,8.25201765765766
"123",2021-11-30,"Central",2,16,12.5,8.98671430911623
"124",2021-11-30,"West End",13,16,81.25,5.93729453873212
"125",2021-12-01,"Bayfront area",2,16,12.5,6.61757947114979
"126",2021-12-01,"Central",1,16,6.25,NA
"127",2021-12-01,"North shore",1,16,6.25,11.4168902654867
"128",2021-12-01,"West End",12,16,75,6.83312646433723
"129",2021-12-02,"Bayfront area",6,16,37.5,6.13175931338384
"130",2021-12-02,"Central",1,16,6.25,NA
"131",2021-12-02,"North shore",1,16,6.25,12.9410363636364
"132",2021-12-02,"West End",8,16,50,6.86318388669175
"133",2021-12-03,"Bayfront area",2,16,12.5,7.52415097046414
"134",2021-12-03,"Central",1,16,6.25,NA
"135",2021-12-03,"North shore",1,16,6.25,10.227
"136",2021-12-03,"West End",12,16,75,6.28282855587299
"137",2021-12-04,"Bayfront area",1,16,6.25,6.04881463414634
"138",2021-12-04,"Central",1,16,6.25,NA
"139",2021-12-04,"West End",14,16,87.5,6.92246777215012
"140",2021-12-05,"Central",1,16,6.25,NA
"141",2021-12-05,"West End",15,16,93.75,6.82259666633836
"142",2021-12-06,"Bayfront area",4,16,25,5.99249146611749
"143",2021-12-06,"Central",1,16,6.25,6.71766666666667
"144",2021-12-06,"West End",11,16,68.75,6.68593794705065
"145",2021-12-07,"Bayfront area",5,16,31.25,6.86867805560899
"146",2021-12-07,"Central",1,16,6.25,NA
"147",2021-12-07,"West End",10,16,62.5,6.1772946441972
