Longitude (x),Latitude (y),Station Name,Climate ID,Date_Time,Year,Month,Day,Time,Flag,Temp ,Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 11:00,2025,4,2,11:00,,1.2,,-6.1,,58,,0,,7,,19,,,,101.12,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 12:00,2025,4,2,12:00,,-1,,-2,,93,,1.5,,7,,19,,,,101.06,,,,-6,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 13:00,2025,4,2,13:00,,-0.6,,-1.4,,94,,6.7,,7,,22,,,,100.75,,,,-6,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 14:00,2025,4,2,14:00,,0.6,,-0.2,,94,,1.5,,9,,17,,,,100.55,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 15:00,2025,4,2,15:00,,0.4,,-0.7,,92,,2.5,,8,,15,,,,100.47,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 16:00,2025,4,2,16:00,,0.3,,-0.7,,93,,5.8,,8,,13,,,,100.47,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 17:00,2025,4,2,17:00,,1,,0,,93,,2.2,,8,,13,,,,100.34,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 18:00,2025,4,2,18:00,,1.4,,0.5,,94,,3.9,,9,,9,,,,100.18,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 19:00,2025,4,2,19:00,,1.8,,1,,95,,1.8,,6,,13,,,,100.08,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 20:00,2025,4,2,20:00,,2.2,,1.5,,95,,1.5,,6,,11,,,,100.03,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 21:00,2025,4,2,21:00,,2.3,,1.6,,95,,1.5,,7,,11,,,,99.85,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 22:00,2025,4,2,22:00,,2.8,,2.1,,95,,0,,8,,8,,,,99.67,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/2/2025 23:00,2025,4,2,23:00,,3.2,,2.5,,95,,0,,10,,9,,,,99.59,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 0:00,2025,4,3,0:00,,3.5,,2.8,,95,,0,,6,,8,,,,99.46,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 1:00,2025,4,3,1:00,,3.9,,3.1,,94,,2,,2,,8,,,,99.74,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 2:00,2025,4,3,2:00,,3.7,,3,,95,,7.3,,11,,5,,,,99.53,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 3:00,2025,4,3,3:00,,3.9,,3.2,,95,,1.3,,,,0,,,,99.44,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 4:00,2025,4,3,4:00,,4.6,,3.9,,95,,1.5,,34,,9,,,,99.25,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 5:00,2025,4,3,5:00,,6.9,,6.3,,96,,0,,29,,6,,,,99.26,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 6:00,2025,4,3,6:00,,12,,11.5,,96,,0,,26,,6,,,,99.31,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 7:00,2025,4,3,7:00,,13.2,,12.7,,96,,0,,24,,6,,,,99.3,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 8:00,2025,4,3,8:00,,15.7,,13.9,,89,,0.3,,25,,11,,,,99.36,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 9:00,2025,4,3,9:00,,16.8,,13.3,,80,,0.5,,25,,14,,,,99.47,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 10:00,2025,4,3,10:00,,17.7,,12.7,,73,,0,,26,,14,,,,99.52,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 11:00,2025,4,3,11:00,,18.9,,7.4,,47,,0,,26,,21,,,,99.55,,,,,,NA
