"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps"
"25","HAM-026","HAM","26",1,NA,NA,43.27897,-79.88561,NA,NA,2015-08-28 10:00:00,2016-04-13 04:00:00,NA,NA,NA,"VR2W",69,127851,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"26","HAM-027","HAM","27",1,NA,NA,43.27917,-79.87444,NA,NA,2015-11-10 11:00:00,2016-04-21 04:00:00,NA,NA,NA,"VR2W",69,127829,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"27","HAM-028","HAM","28",1,NA,NA,43.27582,-79.88266,NA,NA,2015-11-30 11:00:00,2016-04-21 04:00:00,NA,NA,NA,"VR2W",69,126878,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"28","HAM-010","HAM","10",2,NA,NA,43.26856,-79.7815,NA,NA,2016-04-13 10:00:00,2016-10-24 04:00:00,NA,NA,NA,"VR2W",69,127835,"MAP-113",NA,NA,NA,"Yes","HAMLO","No"
"29","HAM-012","HAM","12",2,NA,NA,43.30048,-79.80591,NA,NA,2016-04-13 10:00:00,2016-10-28 04:00:00,NA,NA,NA,"VR2W",69,127839,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"30","HAM-013","HAM","13",2,NA,NA,43.29686,-79.80135,NA,NA,2016-04-13 10:00:00,2016-10-24 04:00:00,NA,NA,NA,"VR2W",69,127846,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"31","HAM-018","HAM","18",2,NA,NA,43.2725,-79.87839,NA,NA,2016-04-13 10:00:00,2016-10-25 04:00:00,NA,NA,NA,"VR2W",69,127840,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"32","HAM-021","HAM","21",2,NA,NA,43.28532,-79.82618,NA,NA,2016-04-13 10:00:00,2016-10-28 04:00:00,NA,NA,NA,"VR2W",69,127841,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"33","HAM-014","HAM","14",2,NA,NA,43.28466,-79.87537,NA,NA,2016-04-14 10:00:00,2016-10-25 04:00:00,NA,NA,NA,"VR2W",69,126876,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"34","HAM-015","HAM","15",2,NA,NA,43.29361,-79.85564,NA,NA,2016-04-14 10:00:00,2016-10-31 04:00:00,NA,NA,NA,"VR2W",69,127828,"MAP-113",NA,NA,NA,"No","HAMLO","No"
