"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps"
"112","HAM-004","HAM","4",4,NA,NA,43.28806,-79.83556,NA,NA,2017-04-26 17:40:00,2017-11-01 03:00:00,NA,NA,NA,"VR2W",69,127845,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"113","HAM-001","HAM","1",4,NA,NA,43.30639,-79.81833,NA,NA,2017-04-28 14:30:00,2017-11-01 13:55:00,NA,NA,NA,"VR2W",69,127832,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"114","HAM-035","HAM","35",2,NA,NA,43.26228,-79.77238,NA,NA,2017-05-02 18:30:00,2017-11-24 18:00:00,NA,NA,NA,"VR2W",69,131522,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"115","HAM-036","HAM","36",3,NA,NA,43.27139,-79.86949,NA,NA,2017-05-10 04:00:00,2017-11-08 04:00:00,NA,NA,NA,"VR2W",69,119711,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"116","HAM-009","HAM","9",4,NA,NA,43.28036,-79.80383,NA,NA,2017-05-10 18:20:00,2017-10-24 13:26:00,NA,NA,NA,"VR2W",69,127827,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"117","HAM-041","HAM","41",1,NA,NA,43.27649,-79.83901,NA,NA,2017-05-23 18:12:00,2017-11-28 14:00:00,NA,NA,NA,"VR2W",69,131525,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"118","HAM-021","HAM","21",4,NA,NA,43.28524,-79.82626,NA,NA,2017-06-08 15:45:00,2017-10-26 13:03:00,10,NA,NA,"VR2W",69,127841,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"119","HAM-011","HAM","11",1,NA,NA,43.2773,-79.86689,NA,NA,2017-08-11 13:45:00,2017-10-24 15:10:00,NA,NA,NA,"VR2W",69,113051,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"120","HAM-032","HAM","32",3,NA,NA,43.27978,-79.89359,NA,NA,2017-10-18 15:42:00,2018-06-15 17:00:00,NA,NA,NA,"VR2W",69,127844,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"121","HAM-037","HAM","37",3,NA,NA,43.27892,-79.88623,NA,NA,2017-10-23 14:45:00,2018-04-26 18:00:00,4.7,NA,NA,"VR2W",69,129325,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"122","HAM-018","HAM","18",5,NA,NA,43.27273,-79.87795,NA,NA,2017-10-23 15:20:00,2018-04-26 14:00:00,6.4,NA,NA,"VR2W",69,127840,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"123","HAM-014","HAM","14",5,NA,NA,43.28514,-79.87493,NA,NA,2017-10-23 15:53:00,2018-04-24 14:00:00,6.6,NA,NA,"VR2W",69,126876,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"124","HAM-023","HAM","23",5,NA,NA,43.28563,-79.86736,NA,NA,2017-10-23 16:20:00,2018-04-24 14:00:00,NA,NA,NA,"VR2W",69,127834,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"125","HAM-019","HAM","19",5,NA,NA,43.27775,-79.85202,NA,NA,2017-10-23 18:38:00,2018-04-24 14:00:00,12.9,NA,NA,"VR2W",69,127847,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"126","HAM-015","HAM","15",5,NA,NA,43.29382,-79.85561,NA,NA,2017-10-23 19:00:00,2018-04-24 14:00:00,6.5,NA,NA,"VR2W",69,127828,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"127","HAM-009","HAM","9",5,NA,NA,43.28036,-79.80383,NA,NA,2017-10-24 14:26:00,2018-04-23 14:00:00,12.4,NA,NA,"VR2W",69,127827,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"128","HAM-008","HAM","8",5,NA,NA,43.27499,-79.79301,NA,NA,2017-10-24 15:16:00,2018-04-23 14:00:00,6.9,NA,NA,"VR2W",69,126880,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"129","HAM-011","HAM","11",2,NA,NA,43.2773,-79.86689,NA,NA,2017-10-24 16:10:00,2018-04-27 14:00:00,NA,NA,NA,"VR2W",69,113051,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"130","HAM-028","HAM","28",5,NA,NA,43.2761,-79.88156,NA,NA,2017-10-25 14:34:00,2018-04-27 14:00:00,8.1,NA,NA,"VR2W",69,126878,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"131","HAM-013","HAM","13",5,NA,NA,43.29702,-79.8015,NA,NA,2017-10-25 15:09:00,2018-04-23 14:00:00,NA,NA,NA,"VR2W",69,127846,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"132","HAM-022","HAM","22",5,NA,NA,43.30178,-79.79097,NA,NA,2017-10-26 14:00:00,2018-05-07 14:00:00,NA,NA,NA,"VR2W",69,127842,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"133","HAM-021","HAM","21",5,NA,NA,43.28521,-79.8263,NA,NA,2017-10-26 14:03:00,2018-05-07 14:00:00,9.8,NA,NA,"VR2W",69,127841,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"134","HAM-007","HAM","7",5,NA,NA,43.30126,-79.83945,NA,NA,2017-10-26 16:17:00,2018-04-25 14:00:00,10.2,NA,NA,"VR2W",69,126879,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"135","HAM-039","HAM","39",2,NA,NA,43.2816,-79.85183,NA,NA,2017-10-26 16:59:00,2018-04-24 14:00:00,NA,NA,NA,"VR2W",69,131524,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"136","HAM-017","HAM","17",5,NA,NA,43.29487,-79.82197,NA,NA,2017-10-26 17:27:00,2018-04-25 14:00:00,NA,NA,NA,"VR2W",69,127837,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"137","HAM-005","HAM","5",5,NA,NA,43.28115,-79.86466,NA,NA,2017-10-26 19:30:00,2018-04-26 14:00:00,14.5,NA,NA,"VR2W",69,127849,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"138","HAM-012","HAM","12",5,NA,NA,43.30048,-79.80591,NA,NA,2017-10-27 15:00:00,2018-04-25 14:00:00,NA,NA,NA,"VR2W",69,127839,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"139","HAM-003","HAM","3",5,NA,NA,43.2948,-79.80014,NA,NA,2017-10-27 15:30:00,2018-04-23 14:00:00,NA,NA,NA,"VR2W",69,127836,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"140","HAM-025","HAM","25",5,NA,NA,43.30968,-79.81113,NA,NA,2017-10-27 16:18:00,2018-04-25 14:00:00,5.1,NA,NA,"VR2W",69,127843,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"141","HAM-004","HAM","4",5,NA,NA,43.28754,-79.8452,NA,NA,2017-11-01 04:00:00,2018-05-08 14:00:00,NA,NA,NA,"VR2W",69,127845,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"142","HAM-001","HAM","1",5,NA,NA,43.30363,-79.81827,NA,NA,2017-11-01 14:55:00,2018-05-08 14:00:00,NA,NA,NA,"VR2W",69,127832,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"143","HAM-027","HAM","27",5,NA,NA,43.27901,-79.87362,NA,NA,2017-11-01 17:57:00,2018-05-09 14:00:00,NA,NA,NA,"VR2W",69,127829,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"144","HAM-002","HAM","2",5,NA,NA,43.28639,-79.79694,NA,NA,2017-11-01 18:00:00,2018-05-09 14:00:00,NA,NA,NA,"VR2W",69,127833,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"145","HAM-006","HAM","6",5,NA,NA,43.30664,-79.80837,NA,NA,2017-11-02 18:30:00,2018-04-25 14:00:00,8.5,NA,NA,"VR2W",69,127850,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"146","HAM-036","HAM","36",4,NA,NA,43.27139,-79.86949,NA,NA,2017-11-08 05:00:00,2018-05-22 14:00:00,NA,NA,NA,"VR2W",69,119711,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"147","HAM-034","HAM","34",4,NA,NA,43.27164,-79.80792,NA,NA,2017-11-08 15:30:00,2018-05-22 14:00:00,NA,NA,NA,"VR2W",69,121993,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"148","HAM-041","HAM","41",2,NA,NA,43.27649,-79.83901,NA,NA,2017-11-28 15:00:00,2018-04-24 14:00:00,NA,NA,NA,"VR2W",69,131525,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"149","HAM-047","HAM","47",1,NA,NA,43.30267,-79.83991,NA,NA,2018-03-22 13:00:00,2018-05-07 14:00:00,NA,NA,NA,"VR2W",69,132820,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"150","HAM-048","HAM","48",1,NA,NA,43.27311,-79.88506,NA,NA,2018-03-22 13:30:00,2018-05-07 14:00:00,NA,NA,NA,"VR2W",69,132997,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"151","HAM-046","HAM","46",1,NA,NA,43.30771,-79.82588,NA,NA,2018-03-22 22:27:00,2018-05-07 14:00:00,NA,NA,NA,"VR2W",69,133002,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"152","HAM-033","HAM","33",3,NA,NA,43.29214,-79.88402,NA,NA,2018-03-27 14:00:00,2018-05-28 13:40:00,NA,NA,NA,"VR2W",69,129324,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"153","HAM-029","HAM","29",4,NA,NA,43.28943,-79.88736,NA,NA,2018-03-27 15:27:00,2018-06-15 18:00:00,NA,NA,NA,"VR2W",69,119694,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"154","HAM-044","HAM","44",1,NA,NA,43.27541,-79.90526,NA,NA,2018-03-28 14:27:00,2018-10-18 15:26:00,NA,NA,NA,"VR2W",69,132999,"MAP-114",NA,NA,NA,"Yes","HAMLO","No"
"155","HAM-030","HAM","30",3,NA,NA,43.27198,-79.92513,NA,NA,2018-03-28 15:28:00,2018-12-06 19:41:00,NA,NA,NA,"VR2W",69,121999,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"156","HAM-051","HAM","51",1,NA,NA,43.2697,-79.87332,NA,NA,2018-04-03 17:52:00,2018-11-01 14:41:00,2.55,NA,NA,"VR2W",69,132819,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"157","HAM-055","HAM","55",1,NA,NA,43.27455,-79.86491,NA,NA,2018-04-03 17:55:00,2018-05-14 18:15:00,NA,NA,NA,"VR2W",69,133112,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"158","HAM-052","HAM","52",1,NA,NA,43.27414,-79.86644,NA,NA,2018-04-03 18:32:00,2018-05-14 17:00:00,NA,NA,NA,"VR2W",69,132818,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"159","HAM-056","HAM","56",1,NA,NA,43.27496,-79.86348,NA,NA,2018-04-03 19:16:00,2018-05-14 18:30:00,NA,NA,NA,"VR2W",69,133113,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"160","HAM-054","HAM","54",1,NA,NA,43.27454,-79.8622,NA,NA,2018-04-03 19:36:00,2018-05-14 18:41:00,NA,NA,NA,"VR2W",69,132998,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"161","HAM-053","HAM","53",1,NA,NA,43.2759,-79.86333,NA,NA,2018-04-03 19:55:00,2018-05-14 18:00:00,NA,NA,NA,"VR2W",69,133111,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"162","HAM-057","HAM","57",1,NA,NA,43.27516,-79.86076,NA,NA,2018-04-03 20:20:00,2018-05-14 19:05:00,NA,NA,NA,"VR2W",69,133114,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"163","HAM-031","HAM","31",3,NA,NA,43.27322,-79.90127,NA,NA,2018-04-19 14:00:00,2018-11-20 14:27:00,NA,NA,NA,"VR2W",69,127831,"MAP-113",NA,NA,NA,"Yes","HAMLO","No"
"164","HAM-042","HAM","42",1,NA,NA,43.26877,-79.9348,NA,NA,2018-04-19 14:10:00,2018-12-06 17:23:00,1.8,NA,NA,"VR2W",69,133001,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"165","HAM-010","HAM","10",4,NA,NA,43.26856,-79.7815,NA,NA,2018-04-19 21:00:00,2018-11-13 20:00:00,NA,NA,NA,"VR2W",69,131523,"MAP-113",NA,NA,NA,"Yes","HAMLO","No"
"166","HAM-013","HAM","13",6,NA,NA,43.29702,-79.8015,NA,NA,2018-04-23 14:00:00,2018-10-22 15:48:00,NA,NA,NA,"VR2W",69,127846,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"167","HAM-003","HAM","3",6,NA,NA,43.29452,-79.80058,NA,NA,2018-04-23 14:00:00,2018-11-23 20:32:00,NA,NA,NA,"VR2W",69,127836,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"168","HAM-008","HAM","8",6,NA,NA,43.27494,-79.79294,NA,NA,2018-04-23 14:00:00,2018-11-13 15:07:00,7.5,NA,NA,"VR2W",69,126880,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"169","HAM-009","HAM","9",6,NA,NA,43.28036,-79.80383,NA,NA,2018-04-23 14:00:00,2018-10-10 17:30:00,NA,NA,NA,"VR2W",69,127827,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"170","HAM-015","HAM","15",6,NA,NA,43.2937,-79.85561,NA,NA,2018-04-24 14:00:00,2018-10-10 16:00:00,7.5,NA,NA,"VR2W",69,127828,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"171","HAM-019","HAM","19",6,NA,NA,43.27795,-79.85169,NA,NA,2018-04-24 14:00:00,2018-11-19 16:00:00,14,NA,NA,"VR2W",69,127847,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"172","HAM-023","HAM","23",6,NA,NA,43.28562,-79.86736,NA,NA,2018-04-24 14:00:00,2018-10-10 16:49:00,NA,NA,NA,"VR2W",69,127834,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"173","HAM-039","HAM","39",3,NA,NA,43.28167,-79.85108,NA,NA,2018-04-24 14:00:00,2018-11-14 18:30:00,NA,NA,NA,"VR2W",69,131524,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"174","HAM-041","HAM","41",3,NA,NA,43.27665,-79.83897,NA,NA,2018-04-24 14:00:00,2018-10-22 15:30:00,NA,NA,NA,"VR2W",69,131525,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"175","HAM-017","HAM","17",6,NA,NA,43.29479,-79.82111,NA,NA,2018-04-25 14:00:00,2019-04-30 19:39:00,NA,NA,NA,"VR2W",69,127837,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"176","HAM-025","HAM","25",6,NA,NA,43.3096,-79.81122,NA,NA,2018-04-25 14:00:00,2018-11-13 16:26:00,5.8,NA,NA,"VR2W",69,127843,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"177","HAM-006","HAM","6",6,NA,NA,43.30664,-79.80837,NA,NA,2018-04-25 14:00:00,2018-10-30 13:08:00,NA,NA,NA,"VR2W",69,127850,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"178","HAM-007","HAM","7",6,NA,NA,43.30118,-79.8397,NA,NA,2018-04-25 14:00:00,2018-11-02 13:13:00,11.1,NA,NA,"VR2W",69,126879,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"179","HAM-012","HAM","12",6,NA,NA,43.30048,-79.80591,NA,NA,2018-04-25 15:00:00,2018-11-13 18:18:00,NA,NA,NA,"VR2W",69,127839,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"180","HAM-018","HAM","18",6,NA,NA,43.27276,-79.87782,NA,NA,2018-04-26 14:00:00,2018-11-14 15:20:00,6.7,NA,NA,"VR2W",69,127840,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"181","HAM-005","HAM","5",6,NA,NA,43.28111,-79.86456,NA,NA,2018-04-26 14:00:00,2018-11-01 15:06:00,15.3,NA,NA,"VR2W",69,127849,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"182","HAM-028","HAM","28",6,NA,NA,43.2761,-79.88156,NA,NA,2018-04-27 14:00:00,2018-11-01 14:50:00,NA,NA,NA,"VR2W",69,126878,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"183","HAM-011","HAM","11",3,NA,NA,43.27738,-79.86687,NA,NA,2018-04-27 15:00:00,2018-10-29 14:00:00,NA,NA,NA,"VR2W",69,113051,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"184","HAM-021","HAM","21",6,NA,NA,43.28517,-79.82636,NA,NA,2018-05-07 14:00:00,2018-11-20 14:45:00,9.8,NA,NA,"VR2W",69,127841,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"185","HAM-022","HAM","22",6,NA,NA,43.30178,-79.79097,NA,NA,2018-05-07 14:00:00,2018-11-19 15:30:00,NA,NA,NA,"VR2W",69,127842,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"186","HAM-046","HAM","46",2,NA,NA,43.30771,-79.82588,NA,NA,2018-05-07 15:00:00,2018-11-15 15:42:00,NA,NA,NA,"VR2W",69,133002,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"187","HAM-048","HAM","48",2,NA,NA,43.27311,-79.88506,NA,NA,2018-05-07 15:00:00,2018-11-01 14:21:00,NA,NA,NA,"VR2W",69,132997,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"188","HAM-047","HAM","47",2,NA,NA,43.30267,-79.83991,NA,NA,2018-05-07 20:00:00,2018-11-01 13:50:00,NA,NA,NA,"VR2W",69,132820,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"189","HAM-001","HAM","1",6,NA,NA,43.30611,-79.81861,NA,NA,2018-05-08 14:00:00,2018-10-31 14:54:00,NA,NA,NA,"VR2W",69,127832,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"190","HAM-004","HAM","4",6,NA,NA,43.2875,-79.84528,NA,NA,2018-05-08 14:00:00,2018-11-15 15:00:00,NA,NA,NA,"VR2W",69,127845,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"191","HAM-002","HAM","2",6,NA,NA,43.28639,-79.79694,NA,NA,2018-05-09 14:00:00,2018-11-01 13:15:00,NA,NA,NA,"VR2W",69,127833,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"192","HAM-027","HAM","27",6,NA,NA,43.27901,-79.87362,NA,NA,2018-05-09 14:00:00,2018-10-31 14:00:00,NA,NA,NA,"VR2W",69,127829,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"193","HAM-052","HAM","52",2,NA,NA,43.27414,-79.86644,NA,NA,2018-05-14 17:00:00,2018-11-01 14:00:00,NA,NA,NA,"VR2W",69,132818,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"194","HAM-053","HAM","53",2,NA,NA,43.2759,-79.86333,NA,NA,2018-05-14 18:00:00,2018-11-01 14:00:00,NA,NA,NA,"VR2W",69,133111,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"195","HAM-055","HAM","55",2,NA,NA,43.27455,-79.86491,NA,NA,2018-05-14 18:15:00,2018-11-01 14:00:00,NA,NA,NA,"VR2W",69,133112,"MAP-114","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"196","HAM-056","HAM","56",2,NA,NA,43.27496,-79.86348,NA,NA,2018-05-14 18:30:00,2018-11-01 14:00:00,NA,NA,NA,"VR2W",69,133113,"MAP-114","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"197","HAM-054","HAM","54",2,NA,NA,43.27454,-79.8622,NA,NA,2018-05-14 18:41:00,2018-11-01 14:00:00,NA,NA,NA,"VR2W",69,132998,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"198","HAM-057","HAM","57",2,NA,NA,43.27516,-79.86076,NA,NA,2018-05-14 19:05:00,2018-11-01 14:00:00,NA,NA,NA,"VR2W",69,133114,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"199","HAM-043","HAM","43",1,NA,NA,43.27957,-79.89146,NA,NA,2018-05-14 21:00:00,2018-10-18 15:00:00,NA,NA,NA,"VR2W",69,114737,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"200","HAM-034","HAM","34",5,NA,NA,43.27164,-79.80792,NA,NA,2018-05-22 14:00:00,2018-11-01 17:18:00,NA,NA,NA,"VR2W",69,121993,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"201","HAM-036","HAM","36",5,NA,NA,43.27139,-79.86949,NA,NA,2018-05-22 14:00:00,2018-11-01 15:17:00,NA,NA,NA,"VR2W",69,119711,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"202","HAM-035","HAM","35",3,NA,NA,43.26228,-79.77238,NA,NA,2018-06-07 14:00:00,2018-11-22 20:40:00,NA,NA,NA,"VR2W",69,131522,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"203","HAM-032","HAM","32",4,NA,NA,43.27978,-79.89359,NA,NA,2018-06-15 17:00:00,2018-12-06 16:28:00,NA,NA,NA,"VR2W",69,127844,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"204","HAM-029","HAM","29",5,NA,NA,43.28943,-79.88736,NA,NA,2018-06-15 19:00:00,2018-12-06 19:23:00,NA,NA,NA,"VR2W",69,119694,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"205","HAM-015","HAM","15",7,NA,NA,43.29375,-79.8554,NA,NA,2018-10-10 16:00:00,2019-05-14 17:31:00,6.6,NA,NA,"VR2W",69,127828,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"206","HAM-009","HAM","9",7,NA,NA,43.28036,-79.80383,NA,NA,2018-10-10 17:30:00,2019-05-14 12:40:00,NA,NA,NA,"VR2W",69,127827,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"207","HAM-043","HAM","43",2,NA,NA,43.27957,-79.89146,NA,NA,2018-10-18 16:00:00,2019-05-17 15:30:00,NA,NA,NA,"VR2W",69,114737,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"208","HAM-041","HAM","41",4,NA,NA,43.27665,-79.83897,NA,NA,2018-10-22 15:30:00,2019-05-07 15:40:00,NA,NA,NA,"VR2W",69,131525,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"209","HAM-011","HAM","11",4,NA,NA,43.2773,-79.86689,NA,NA,2018-10-29 15:00:00,2019-05-14 18:05:00,NA,NA,NA,"VR2W",69,113051,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"210","HAM-006","HAM","6",7,NA,NA,43.3064,-79.80837,NA,NA,2018-10-30 14:00:00,2019-05-08 15:00:00,7.9,NA,NA,"VR2W",69,127850,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"211","HAM-027","HAM","27",7,NA,NA,43.27889,-79.87417,NA,NA,2018-10-31 15:00:00,2019-04-16 14:00:00,NA,NA,NA,"VR2W",69,127829,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"212","HAM-001","HAM","1",7,NA,NA,43.30667,-79.81833,NA,NA,2018-10-31 15:54:00,2019-04-24 15:00:00,NA,NA,NA,"VR2W",69,127832,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"213","HAM-002","HAM","2",7,NA,NA,43.28583,-79.79694,NA,NA,2018-11-01 14:00:00,2019-04-16 15:00:00,NA,NA,NA,"VR2W",69,127833,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"214","HAM-048","HAM","48",3,NA,NA,43.27311,-79.88506,NA,NA,2018-11-01 14:41:00,2019-09-30 17:49:00,NA,NA,NA,"VR2W",69,132997,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"215","HAM-051","HAM","51",2,NA,NA,43.2697,-79.87332,NA,NA,2018-11-01 14:41:00,2019-05-10 14:30:00,2.55,NA,NA,"VR2W",69,132819,"MAP-114","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"216","HAM-047","HAM","47",3,NA,NA,43.30267,-79.83991,NA,NA,2018-11-01 14:50:00,2019-05-29 16:30:00,NA,NA,NA,"VR2W",69,132820,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"217","HAM-036","HAM","36",6,NA,NA,43.27139,-79.86949,NA,NA,2018-11-01 15:17:00,2019-05-17 16:00:00,NA,NA,NA,"VR2W",69,119711,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"218","HAM-052","HAM","52",3,NA,NA,43.27438,-79.86617,NA,NA,2018-11-01 15:40:00,2019-05-17 16:25:00,NA,NA,NA,"VR2W",69,132818,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"219","HAM-028","HAM","28",7,NA,NA,43.27556,-79.88278,NA,NA,2018-11-01 15:50:00,2019-05-06 13:30:00,7.1,NA,NA,"VR2W",69,126878,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"220","HAM-055","HAM","55",3,NA,NA,43.27455,-79.86491,NA,NA,2018-11-01 15:56:00,2019-05-21 17:00:00,NA,NA,NA,"VR2W",69,133112,"MAP-114","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"221","HAM-005","HAM","5",7,NA,NA,43.28111,-79.86472,NA,NA,2018-11-01 16:06:00,2019-05-14 15:20:00,13.9,NA,NA,"VR2W",69,127849,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"222","HAM-056","HAM","56",3,NA,NA,43.27496,-79.86348,NA,NA,2018-11-01 16:11:00,2019-05-21 19:00:00,NA,NA,NA,"VR2W",69,133113,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"223","HAM-054","HAM","54",3,NA,NA,43.27454,-79.8622,NA,NA,2018-11-01 16:25:00,2019-05-21 23:45:00,NA,NA,NA,"VR2W",69,132998,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"224","HAM-057","HAM","57",3,NA,NA,43.27516,-79.86076,NA,NA,2018-11-01 16:38:00,2019-05-09 15:15:00,NA,NA,NA,"VR2W",69,133114,"MAP-114",NA,NA,NA,"No","HAMLO","No"
"225","HAM-053","HAM","53",3,NA,NA,43.2759,-79.86333,NA,NA,2018-11-01 16:53:00,2019-05-21 13:18:00,NA,NA,NA,"VR2W",69,133111,"MAP-114","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"226","HAM-034","HAM","34",6,NA,NA,43.27164,-79.80792,NA,NA,2018-11-01 17:18:00,2019-07-09 14:45:00,NA,NA,NA,"VR2W",69,121993,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"227","HAM-007","HAM","7",7,NA,NA,43.30118,-79.8397,NA,NA,2018-11-02 13:13:00,2019-05-08 16:00:00,9,NA,NA,"VR2W",69,126879,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"228","HAM-008","HAM","8",7,NA,NA,43.27496,-79.79289,NA,NA,2018-11-13 16:07:00,2019-05-14 12:15:00,6.8,NA,NA,"VR2W",69,126880,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"229","HAM-025","HAM","25",7,NA,NA,43.30972,-79.81122,NA,NA,2018-11-13 17:26:00,2019-05-08 15:10:00,5.1,NA,NA,"VR2W",69,127843,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"230","HAM-012","HAM","12",7,NA,NA,43.30048,-79.80591,NA,NA,2018-11-13 19:18:00,2019-05-09 15:15:00,NA,NA,NA,"VR2W",69,127839,"MAP-113",NA,NA,NA,"No","HAMLO","No"
